縣市,區域別,年底人口數,土地面積,人口密度
臺中市,大甲區,77761,58.5192,1329
臺中市,清水區,86420,64.1709,1347
臺中市,沙鹿區,92645,40.4604,2290
臺中市,梧棲區,57993,16.6049,3493
臺中市,后里區,54482,58.9439,924
臺中市,神岡區,65553,35.0445,1871
臺中市,潭子區,108288,25.8497,4189
臺中市,大雅區,95203,32.4109,2937
臺中市,新社區,24754,68.8874,359
臺中市,石岡區,15066,18.2105,827
臺中市,外埔區,32185,42.4099,759
臺中市,大安區,19303,27.4045,704
臺中市,烏日區,74554,43.4032,1718
臺中市,大肚區,57322,37.0024,1549
臺中市,龍井區,77818,38.0377,2046
臺中市,霧峰區,65393,98.0779,667
臺中市,太平區,189066,120.7473,1566
臺中市,大里區,211492,28.8758,7324
臺中市,和平區,10949,1037.8192,11
臺南市,新營區,77966,38.5386,2023
臺南市,鹽水區,25583,52.2455,490
臺南市,白河區,28520,126.4046,226
臺南市,柳營區,21365,61.2929,349
臺南市,後壁區,23718,72.2189,328
臺南市,東山區,21049,124.9178,169
臺南市,麻豆區,44603,53.9744,826
臺南市,下營區,24239,33.5291,723
臺南市,六甲區,22275,67.5471,330
臺南市,官田區,21448,70.7953,303
臺南市,大內區,9761,70.3125,139
臺南市,佳里區,59380,38.9422,1525
臺南市,學甲區,26078,53.9919,483
臺南市,西港區,24758,33.7666,733
臺南市,七股區,22974,110.1492,209
臺南市,將軍區,19849,41.9796,473
臺南市,北門區,11188,44.1003,254
臺南市,新化區,43630,62.0579,703
臺南市,善化區,48386,55.3097,875
臺南市,新市區,36574,47.8096,765
臺南市,安定區,30564,31.27,977
臺南市,山上區,7314,27.878,262
臺南市,玉井區,14151,76.3662,185
臺南市,楠西區,9717,109.6316,89
臺南市,南化區,8787,171.5198,51
臺南市,左鎮區,4876,74.9025,65
臺南市,仁德區,75518,50.7664,1488
臺南市,歸仁區,68424,55.7913,1226
臺南市,關廟區,34433,53.6413,642
臺南市,龍崎區,4038,64.0814,63
臺南市,永康區,233905,40.2753,5808
臺南市,市東區,186841,13.4156,13927
臺南市,市南區,125394,27.2681,4599
臺南市,市北區,132726,10.434,12721
臺南市,安南區,192224,107.2016,1793
臺南市,安平區,66496,11.0663,6009
臺南市,中西區,77770,6.26,12423
高雄市,鹽埕區,24219,1.4161,17103
高雄市,鼓山區,139259,14.7523,9440
高雄市,左營區,197072,19.3823,10168
高雄市,楠梓區,183751,25.8276,7115
高雄市,三民區,343243,19.7866,17347
高雄市,新興區,51153,1.9764,25882
高雄市,前金區,26991,1.8573,14532
高雄市,苓雅區,171033,8.1522,20980
高雄市,前鎮區,189839,19.1207,9928
高雄市,旗津區,28763,1.4639,19648
高雄市,小港區,157475,45.4426,3465
高雄市,鳳山區,359120,26.759,13421
高雄市,林園區,69990,32.286,2168
高雄市,大寮區,112397,71.04,1582
高雄市,大樹區,42757,66.9811,638
高雄市,大社區,34577,26.5848,1301
高雄市,仁武區,85894,36.0808,2381
高雄市,鳥松區,44291,24.5927,1801
高雄市,岡山區,97329,47.9421,2030
高雄市,橋頭區,37579,25.9379,1449
高雄市,燕巢區,29922,65.395,458
高雄市,田寮區,7245,92.6802,78
高雄市,阿蓮區,28844,34.6164,833
高雄市,路竹區,52761,48.4348,1089
高雄市,湖內區,29803,20.1615,1478
高雄市,茄萣區,30217,15.7624,1917
高雄市,永安區,13980,22.6141,618
高雄市,彌陀區,19383,14.7772,1312
高雄市,梓官區,36116,11.5967,3114
高雄市,旗山區,36940,94.6122,390
高雄市,美濃區,39973,120.0316,333
高雄市,六龜區,13016,194.1584,67
高雄市,甲仙區,6107,124.034,49
高雄市,杉林區,12038,104.0036,116
高雄市,內門區,14540,95.6224,152
高雄市,茂林區,1924,194.0,10
高雄市,桃源區,4246,928.98,5
高雄市,瑪夏區,3125,252.9895,12
宜蘭縣,宜蘭市,95918,29.408,3262
宜蘭縣,羅東鎮,72319,11.3448,6375
宜蘭縣,蘇澳鎮,40056,89.0196,450
宜蘭縣,頭城鎮,29398,100.893,291
宜蘭縣,礁溪鄉,35777,101.4278,353
宜蘭縣,壯圍鄉,24250,38.4769,630
宜蘭縣,員山鄉,32458,111.9106,290
宜蘭縣,冬山鄉,53289,79.8573,667
宜蘭縣,五結鄉,39673,38.8671,1021
宜蘭縣,三星鄉,21467,144.2238,149
宜蘭縣,大同鄉,6102,657.5442,9
宜蘭縣,南澳鄉,5900,740.652,8
新竹縣,竹北市,181955,46.8341,3885
新竹縣,關西鎮,28896,125.5193,230
新竹縣,新埔鎮,33415,72.1911,463
新竹縣,竹東鎮,96918,53.5133,1811
新竹縣,湖口鄉,77444,58.4303,1325
新竹縣,橫山鄉,13064,66.3502,197
新竹縣,新豐鄉,56836,46.3496,1226
新竹縣,芎林鄉,20061,40.7858,492
新竹縣,寶山鄉,14550,64.7871,225
新竹縣,北埔鄉,9390,50.6676,185
新竹縣,峨眉鄉,5538,46.801,118
新竹縣,尖石鄉,9543,527.5795,18
新竹縣,五峰鄉,4559,227.728,20
苗栗縣,苗栗市,89165,37.8878,2353
苗栗縣,頭份市,103147,53.3205,1934
苗栗縣,苑裡鎮,45976,68.2473,674
苗栗縣,通霄鎮,34691,107.8486,322
苗栗縣,竹南鎮,85587,37.5592,2279
苗栗縣,後龍鎮,36750,75.8079,485
苗栗縣,卓蘭鎮,17134,76.3153,225
苗栗縣,大湖鄉,14738,90.8396,162
苗栗縣,公館鄉,33773,71.4523,473
苗栗縣,銅鑼鄉,18138,78.3805,231
苗栗縣,南庄鄉,10176,165.4938,61
苗栗縣,頭屋鄉,10840,52.5046,206
苗栗縣,三義鄉,16530,69.3424,238
苗栗縣,西湖鄉,7154,41.0758,174
苗栗縣,造橋鄉,12952,47.9978,270
苗栗縣,三灣鄉,6756,52.2964,129
苗栗縣,獅潭鄉,4417,79.4324,56
苗栗縣,泰安鄉,5883,614.5127,10
彰化縣,彰化市,233613,65.6947,3556
彰化縣,員林市,124632,40.038,3113
彰化縣,鹿港鎮,86799,39.4625,2200
彰化縣,和美鎮,90986,39.9345,2278
彰化縣,北斗鎮,33355,19.2547,1732
彰化縣,溪湖鎮,55686,32.0592,1737
彰化縣,田中鎮,41890,34.6056,1210
彰化縣,二林鎮,50980,92.8478,549
彰化縣,線西鄉,16928,18.0856,936
彰化縣,伸港鄉,36957,22.3268,1655
彰化縣,福興鄉,47332,49.8934,949
彰化縣,秀水鄉,39357,29.3447,1341
彰化縣,花壇鄉,45924,36.3469,1263
彰化縣,芬園鄉,23755,38.0204,625
彰化縣,大村鄉,36870,30.7837,1198
彰化縣,埔鹽鄉,32587,38.6081,844
彰化縣,埔心鄉,34836,20.9526,1663
彰化縣,永靖鄉,37334,20.6382,1809
彰化縣,社頭鄉,43144,36.1449,1194
彰化縣,二水鄉,15325,29.4449,520
彰化縣,田尾鄉,27462,24.0375,1142
彰化縣,埤頭鄉,30642,42.7508,717
彰化縣,芳苑鄉,33714,91.3827,369
彰化縣,大城鄉,16987,63.7406,267
彰化縣,竹塘鄉,15303,42.1662,363
彰化縣,溪州鄉,30060,75.831,396
南投縣,南投市,100180,71.6021,1399
南投縣,埔里鎮,81033,162.2227,500
南投縣,草屯鎮,97875,104.0327,941
南投縣,竹山鎮,55060,247.3339,223
南投縣,集集鎮,10904,49.7268,219
南投縣,名間鄉,38796,83.0955,467
南投縣,鹿谷鄉,17808,141.8981,125
南投縣,中寮鄉,14842,146.6541,101
南投縣,魚池鄉,15946,121.3735,131
南投縣,國姓鄉,18803,175.7042,107
南投縣,水里鄉,17803,106.8424,167
南投縣,信義鄉,16253,1422.4188,11
南投縣,仁愛鄉,15748,1273.5312,12
雲林縣,斗六市,108567,93.7151,1158
雲林縣,斗南鎮,44941,48.1505,933
雲林縣,虎尾鎮,70892,68.742,1031
雲林縣,西螺鎮,46244,49.7985,929
雲林縣,土庫鎮,28932,49.0212,590
雲林縣,北港鎮,40278,41.4999,971
雲林縣,古坑鄉,31708,166.6059,190
雲林縣,大埤鄉,19263,44.9973,428
雲林縣,莿桐鄉,28939,50.8502,569
雲林縣,林內鄉,18230,37.6035,485
雲林縣,二崙鄉,27255,59.5625,458
雲林縣,崙背鄉,24678,58.484,422
雲林縣,麥寮鄉,45665,80.1668,570
雲林縣,東勢鄉,14893,48.3562,308
雲林縣,褒忠鄉,13010,37.0552,351
雲林縣,臺西鄉,23954,54.0983,443
雲林縣,元長鄉,25980,71.5872,363
雲林縣,四湖鄉,23667,77.1189,307
雲林縣,口湖鄉,27653,80.4612,344
雲林縣,水林鄉,25624,72.9582,351
嘉義縣,太保市,37781,66.8964,565
嘉義縣,朴子市,42382,49.5737,855
嘉義縣,布袋鎮,27143,61.7307,440
嘉義縣,大林鎮,31198,64.1663,486
嘉義縣,民雄鄉,71693,85.4969,839
嘉義縣,溪口鄉,14751,33.0463,446
嘉義縣,新港鄉,31935,66.0495,484
嘉義縣,六腳鄉,23318,62.2619,375
嘉義縣,東石鄉,24969,81.5821,306
嘉義縣,義竹鄉,18486,79.2925,233
嘉義縣,鹿草鄉,15577,54.3151,287
嘉義縣,水上鄉,49744,69.1198,720
嘉義縣,中埔鄉,44974,129.5016,347
嘉義縣,竹崎鄉,35962,162.2256,222
嘉義縣,梅山鄉,19475,119.7571,163
嘉義縣,番路鄉,11599,117.5269,99
嘉義縣,大埔鄉,4564,173.2472,26
嘉義縣,里山鄉,5631,427.8471,13
屏東縣,屏東市,200452,65.067,3081
屏東縣,潮州鎮,54377,42.4331,1281
屏東縣,東港鎮,47866,29.4635,1625
屏東縣,恆春鎮,30726,136.763,225
屏東縣,萬丹鄉,50935,57.4679,886
屏東縣,長治鄉,30008,39.8861,752
屏東縣,麟洛鄉,11076,16.26,681
屏東縣,九如鄉,22110,42.0187,526
屏東縣,里港鄉,26459,68.9208,384
屏東縣,鹽埔鄉,25997,64.3493,404
屏東縣,高樹鄉,24622,90.1522,273
屏東縣,萬巒鄉,20556,60.7315,338
屏東縣,內埔鄉,54707,81.8554,668
屏東縣,竹田鄉,17158,29.0732,590
屏東縣,新埤鄉,9936,59.0102,168
屏東縣,枋寮鄉,24571,57.7347,426
屏東縣,新園鄉,35321,38.3109,922
屏東縣,崁頂鄉,15720,31.2659,503
屏東縣,林邊鄉,18080,15.6233,1157
屏東縣,南州鄉,10670,18.97,562
屏東縣,佳冬鄉,19380,30.9842,625
屏東縣,琉球鄉,12337,6.8018,1814
屏東縣,車城鄉,8586,49.8517,172
屏東縣,滿州鄉,7840,142.2013,55
屏東縣,枋山鄉,5478,17.2697,317
屏東縣,地門鄉,7644,196.3965,39
屏東縣,霧臺鄉,3246,278.796,12
屏東縣,瑪家鄉,6746,78.7008,86
屏東縣,泰武鄉,5271,118.6266,44
屏東縣,來義鄉,7465,167.7756,44
屏東縣,春日鄉,4867,160.001,30
屏東縣,獅子鄉,4806,301.0018,16
屏東縣,牡丹鄉,4926,181.8366,27
臺東縣,臺東市,105960,109.7691,965
臺東縣,成功鎮,14238,143.9939,99
臺東縣,關山鎮,8742,58.7351,149
臺東縣,卑南鄉,17399,412.6871,42
臺東縣,大武鄉,6117,69.1454,88
臺東縣,麻里鄉,11163,96.6523,115
臺東縣,東河鄉,8517,210.1908,41
臺東縣,長濱鄉,7260,155.1868,47
臺東縣,鹿野鄉,7951,89.698,89
臺東縣,池上鄉,8248,82.6854,100
臺東縣,綠島鄉,3926,15.0919,260
臺東縣,延平鄉,3551,455.8805,8
臺東縣,海端鄉,4222,880.0382,5
臺東縣,達仁鄉,3518,306.4454,11
臺東縣,金峰鄉,3653,380.6635,10
臺東縣,蘭嶼鄉,5075,48.3892,105
花蓮縣,花蓮市,104380,29.4095,3549
花蓮縣,鳳林鎮,10861,120.5181,90
花蓮縣,玉里鎮,24345,252.3719,96
花蓮縣,新城鄉,20185,29.4095,686
花蓮縣,吉安鄉,83747,65.2582,1283
花蓮縣,壽豐鄉,18043,218.4448,83
花蓮縣,光復鄉,12888,157.11,82
花蓮縣,豐濱鄉,4383,162.4332,27
花蓮縣,瑞穗鄉,11653,135.5862,86
花蓮縣,富里鄉,10413,176.3705,59
花蓮縣,秀林鄉,15889,1641.8555,10
花蓮縣,萬榮鄉,6384,618.491,10
花蓮縣,卓溪鄉,6066,1021.313,6
澎湖縣,馬公市,62308,33.9918,1833
澎湖縣,湖西鄉,14508,33.3008,436
澎湖縣,白沙鄉,9817,20.0875,489
澎湖縣,西嶼鄉,8408,18.7148,449
澎湖縣,望安鄉,5176,13.7824,376
澎湖縣,七美鄉,3856,6.9868,552
基隆市,中正區,52163,10.2118,5108
基隆市,七堵區,53972,56.2659,959
基隆市,暖暖區,38708,22.8283,1696
基隆市,仁愛區,44314,4.2335,10467
基隆市,中山區,47908,10.5238,4552
基隆市,安樂區,82358,18.025,4569
基隆市,信義區,52035,10.6706,4876
新竹市,市東區,212553,33.5768,6330
新竹市,市北區,150636,15.7267,9578
新竹市,香山區,77943,54.8491,1421
嘉義市,市東區,122103,30.1556,4049
嘉義市,市西區,147295,29.87,4931
金門縣,金城鎮,43285,21.713,1994
金門縣,金湖鎮,29413,41.696,705
金門縣,金沙鎮,20535,41.19,499
金門縣,金寧鄉,30838,29.854,1033
金門縣,烈嶼鄉,12700,16.003,794
金門縣,烏坵鄉,685,1.2,571
連江縣,南竿鄉,7544,10.4,725
連江縣,北竿鄉,2360,9.9,238
連江縣,莒光鄉,1624,4.7,346
連江縣,東引鄉,1352,3.8,356
東沙群島,東沙群島,0,2.38,0
南沙群島,南沙群島,0,0.5045,0
